epoch,w_consistency=0_MSE_masked,w_consistency=0_MSE_all,w_consistency=0.1_MSE_masked,w_consistency=0.1_MSE_all,w_consistency=0.3_MSE_masked,w_consistency=0.3_MSE_all,w_consistency=0.5_MSE_masked,w_consistency=0.5_MSE_all,w_consistency=1_MSE_masked,w_consistency=1_MSE_all
1,0.42209346335553555,0.3128432654765088,0.4197499662315737,0.30221846663386726,0.423039451239375,0.30175377474497606,0.42326084959887,0.3072541089425918,0.4256903002304438,0.2942856234326038
2,0.3068800771561641,0.20817125551091892,0.2971522312419287,0.1921881022718343,0.2964704764925347,0.1893569473627322,0.2933210403138773,0.18507473092029114,0.29814178806675246,0.17898796646099557
3,0.20596010940378198,0.14030222556962602,0.20076125988791824,0.11777138278782198,0.20248060478349417,0.11723140519644734,0.19894523407142664,0.11479751910316004,0.20138698855028053,0.10946841208017809
4,0.1677160623184687,0.160959337545676,0.1689381342888912,0.10518481485846426,0.16713578629267203,0.09524834886407925,0.1671164558308624,0.09152470386274289,0.16611978145622683,0.08683276949259731
5,0.1477626752762521,0.191149850673211,0.14744200367904872,0.10190502808456132,0.14409939203728372,0.08795653732911521,0.14776132533688965,0.08430940150586892,0.14439360699789364,0.07621926019577926
6,0.132387415654576,0.2063319277031724,0.13529084969511068,0.10091806644463659,0.13303075722768942,0.08100140683020736,0.13458449225780963,0.08102836366707546,0.13048853363504265,0.07162541047305608
7,0.12541506793830118,0.21575598704358218,0.1249427244654476,0.09742448178110778,0.12289607865821324,0.0746356220276909,0.12458402468555291,0.07647537787321679,0.12308568603619001,0.06598668408839962
8,0.11789157531429661,0.21524377372200582,0.12120748671365533,0.09431706118714092,0.11787454444626269,0.07212119285314512,0.1168078841887615,0.07096247971139091,0.11718373279047704,0.06089837759158802
9,0.11369779749407692,0.21194037912241193,0.11400158162803514,0.0870872520458785,0.11206771686342717,0.06704250857605754,0.11256762616949931,0.06790933580273004,0.11171161095202929,0.05647995718481221
10,0.11249277289415596,0.20082481123946205,0.11137342905248653,0.08493542899038725,0.10933729327566939,0.06251898317698776,0.10948988297951377,0.062081441941647775,0.10939836495826367,0.05350791452624824
11,0.1086771911438385,0.189506883985752,0.10844167963449135,0.08025932197502819,0.10932731176039855,0.06179977731326972,0.10747991719467098,0.05930784975804835,0.10748505526609928,0.05108484356710723
12,0.10864954218363716,0.19029607771316132,0.10691161573369556,0.07628638656397574,0.10623958494527995,0.05838370482340932,0.10584341617376304,0.05712682056686275,0.10564400752832642,0.04972709134719571
13,0.1056276756466576,0.1823472896583062,0.10580032968479176,0.07409422027437515,0.10509609570135409,0.05585830654481876,0.10392894660379706,0.054609183336793814,0.10515161452340449,0.047716393543515354
14,0.10382759539416474,0.18024521018184264,0.10514603816779504,0.07020791713969177,0.10391645098932602,0.05377145946344292,0.10371469636059383,0.05331284475196478,0.10351088339105599,0.04620038477934818
15,0.10261963608410277,0.17555521870592583,0.10367649011753452,0.06799620827762347,0.10324082918540335,0.052476857220199756,0.10301265685019098,0.05185254945114701,0.10284306957141777,0.04505692236319642
16,0.10222229099789404,0.17550438591593295,0.10265461491739308,0.06629807543734313,0.1018010569602912,0.050950655926208184,0.10165811328235393,0.05026864380089579,0.10077710960440231,0.043348956777688775
17,0.10094950057859543,0.17410052471869739,0.10120184651513847,0.0630519173332752,0.10251808482131528,0.0509779148413309,0.1009211745572088,0.04871340174989816,0.10132906536726667,0.04291394081786119
18,0.10088956486806203,0.17530099185144105,0.1007063433776311,0.06138578089265826,0.09988309062859912,0.048906454619551905,0.10022605194655827,0.04780175440058245,0.10006880950287883,0.041920300577347074
19,0.09884165223441464,0.1677412571275354,0.09997142591302574,0.06056138660481243,0.10038546893286354,0.0489293433224692,0.0994502439393455,0.04713317567561672,0.09926143153185778,0.0412160670910796
20,0.09839022992577028,0.16808296301330838,0.09935041190376767,0.05941495977081231,0.09916649805223025,0.047522010692268885,0.09828892970543109,0.04573341768600013,0.09851683235859288,0.04073799788613661
21,0.09780553230059766,0.1666829755483513,0.09873150555437064,0.0585152565404897,0.09818739308025956,0.046089892334677564,0.09862930513194665,0.04499070495806586,0.0986883454146591,0.04033509741990578
22,0.09766508988325412,0.16485420974441736,0.0980495318460262,0.056410260135773924,0.09796401084710683,0.04566375915445825,0.09789740194545718,0.04516735345787504,0.09835359911811048,0.040070656829385105
23,0.09669745085253278,0.16451074846404504,0.09719325027559546,0.05538981796252535,0.0974762606460296,0.04509399520954183,0.09680704799921332,0.04396087888676258,0.09690625758112957,0.039101685039166695
24,0.09616271621652493,0.16174780710288228,0.09643148558475204,0.05475352113507617,0.09715582633520235,0.04453530281044647,0.09649091674598503,0.04333240085433592,0.09676208797094876,0.038837057243188144
25,0.09622976801836887,0.16308131651003888,0.09661290878661251,0.0542092910326821,0.09646673624102278,0.043931370789758506,0.09591258300780414,0.04286955696935931,0.0960286867961399,0.038334564302929336
26,0.09583071668556778,0.16309445483787965,0.09631998392356485,0.05407843388286239,0.09625433375725312,0.043582027096306965,0.09597224029904787,0.04278328691727826,0.09560164124989096,0.03802117625098898
27,0.09550140210719663,0.16094914269389993,0.09597552515232019,0.05339241748486121,0.09626418969454843,0.043447299324060065,0.09565012456642336,0.04235175285989509,0.09576899372632569,0.03790631902415074
28,0.09521246517518037,0.16088160036810992,0.09561311156426114,0.053074582629274704,0.09595033369105453,0.04319622181929645,0.09563698679515195,0.04230861268399906,0.09551834296535734,0.03781530622033144
29,0.09520564116161583,0.16095426029344234,0.09561606543474012,0.0530660861021563,0.09581521097528292,0.043094361164477187,0.0955515176846333,0.0422620265175789,0.09539084229741876,0.03771793785829088
30,0.09520879547094745,0.16102744671540833,0.09557938899174459,0.05305421481034672,0.09582131184255203,0.043079689798302595,0.09547841644355529,0.04222968936819439,0.09534878263633396,0.037698496104845776
