drift_scale,epoch,train_loss,val_loss,val_mse_all,val_mse_masked
0.0,1,-0.0672362480722438,-0.28230583318204666,0.3111114403825335,0.42115398857656405
0.0,2,-0.9456151714155179,-0.9321676525439138,0.20928481416642622,0.3091670475925592
0.0,3,-1.800284275340042,-1.6661356160290282,0.1377944907136798,0.20856285475281303
0.0,4,-2.4581791372089596,-2.2272556279048077,0.15381399870598075,0.17086202372783418
0.0,5,-2.7753138324097413,-2.453481554528917,0.1817987786056622,0.15212016379043397
0.0,6,-2.984321370435472,-2.6178579477210606,0.19413941223252001,0.13672406437603432
0.0,7,-3.1409711191755263,-2.674720284498669,0.19398661942621573,0.1275098412966679
0.0,8,-3.2711289737999345,-2.884050807830192,0.18997922635349848,0.12194027670343506
0.0,9,-3.375307528789227,-2.9843182777272785,0.18321351966572821,0.1177096691530147
0.0,10,-3.462174070723577,-2.994617630194497,0.17413713914816006,0.115834216107286
0.0,11,-3.5343763848231577,-3.113335568268612,0.1620461261155856,0.11000266518128557
0.0,12,-3.5956980759158053,-3.1036497674447467,0.15621662546949033,0.10825662731701033
0.0,13,-3.6423711562643244,-3.18599692305622,0.15323969998984394,0.10757508362171052
0.0,14,-3.688732396265027,-3.2475554745042747,0.14782231778151428,0.10590778486342456
0.0,15,-3.726837209667104,-3.217303699846969,0.1406204735855286,0.10567882390275535
0.0,16,-3.7589286648871574,-3.303159576121201,0.13729052143817494,0.10354297562718386
0.0,17,-3.7936482288773803,-3.3190389508049627,0.134365870513889,0.10213897807556795
0.0,18,-3.8241814176179174,-3.3560799320734658,0.13161034490387122,0.10122084139720583
0.0,19,-3.851366518281131,-3.340769551383717,0.13044211606426592,0.10113401757570872
0.0,20,-3.877323257024846,-3.364390231572922,0.12822922096016498,0.10046448401571552
0.0,21,-3.9015683888266186,-3.4200770232128863,0.12557959181596923,0.09903549999071015
0.0,22,-3.925651546157136,-3.3937353442089067,0.1252193374060083,0.09854788567623374
0.0,23,-3.9454417771784067,-3.444512947289509,0.12458222050825593,0.09835889485674904
0.0,24,-3.9655736759281606,-3.4514058732891555,0.12349149167652075,0.09890902867543189
0.0,25,-3.9842913398188737,-3.4541215338293036,0.12209003660146506,0.09771512946761068
0.0,26,-3.9978442475784517,-3.460762842673416,0.12172157553196168,0.09743476215948742
0.0,27,-4.009619967155217,-3.4832337247412526,0.12160510419538899,0.09712551161276149
0.0,28,-4.020229473405955,-3.4811751516740643,0.12099642536272467,0.09702981266858927
0.0,29,-4.024937093164334,-3.484491854889136,0.12070388969021953,0.09681238953037917
0.0,30,-4.026117739759772,-3.48504129301268,0.1205769344262985,0.09687760838983867
0.001,1,-0.06502597132162502,-0.28885060190052814,0.3136420251972482,0.42196656557660017
0.001,2,-0.9435924399965375,-0.9318921674236054,0.20811794046595003,0.3070043569467425
0.001,3,-1.8019656131789672,-1.737796271281014,0.1372187286308226,0.20796982375615425
0.001,4,-2.456421144357685,-2.1920698813167685,0.15587580068089163,0.1711062053200832
0.001,5,-2.78135193080365,-2.4800741216386695,0.1795545973034097,0.15191869102870315
0.001,6,-2.984347015628635,-2.6101491577553313,0.19262740186714286,0.13714620370772287
0.001,7,-3.1372359664324128,-2.760151911563635,0.19492128078855428,0.1282468865031745
0.001,8,-3.260873984298676,-2.8746755760956706,0.19097792027042254,0.12178675648265598
0.001,9,-3.35986038511926,-2.994340346771673,0.18753957712755928,0.116759887937784
0.001,10,-3.4449055526984544,-2.929555115395192,0.17900463984961465,0.11630777027415587
0.001,11,-3.5128162122034765,-3.051858475131009,0.1645207297456909,0.11098130187858178
0.001,12,-3.5687302711807205,-3.1293059890246733,0.15757165796358572,0.11044234372850174
0.001,13,-3.617556611484785,-3.1670465090674282,0.15116525760221974,0.10837317022323394
0.001,14,-3.6574536982286294,-3.1953355434878112,0.14652970486720904,0.10566675387251588
0.001,15,-3.695942981913101,-3.245312475758217,0.1412856520793999,0.10531581064057413
0.001,16,-3.7293487644457555,-3.292836130012767,0.14061205675723096,0.10518950468774424
0.001,17,-3.7566895040275536,-3.3010554909254224,0.13698161999681588,0.10256139739810886
0.001,18,-3.7890303826968372,-3.3240872626958966,0.13379666581520439,0.10188953294424048
0.001,19,-3.813670612803808,-3.3188014414000455,0.1315892685982847,0.10197878614626896
0.001,20,-3.8421734639576504,-3.3766059976768728,0.13066906225638092,0.10110435194282569
0.001,21,-3.865293510536571,-3.3604904642728264,0.12826857501478517,0.10018854393206121
0.001,22,-3.886858103507355,-3.3978760711865683,0.12670129146854095,0.09953550771371285
0.001,23,-3.9102739187013036,-3.4122734879707695,0.12634101077960838,0.09934295246121985
0.001,24,-3.927493438428762,-3.4297375130068004,0.1238688057259578,0.09851598587613326
0.001,25,-3.946919615115251,-3.4378164350884806,0.12470871671328887,0.09848180969365412
0.001,26,-3.9611821751766714,-3.4571957663188804,0.123980419444262,0.09817456449431433
0.001,27,-3.9735101594281157,-3.466064520973862,0.12242761922176218,0.09772598768080994
0.001,28,-3.9818612439291816,-3.4741888504286127,0.1223986256540025,0.09752218368955004
0.001,29,-3.9883370350818246,-3.4743194300243583,0.12244702426792942,0.09764248999501166
0.001,30,-3.9914184763068494,-3.477192762242157,0.12244892572112794,0.09762033509758497
0.005,1,-0.06227760656404953,-0.2882680836391997,0.3132192401149768,0.4219187904676031
0.005,2,-0.9339192462562009,-0.9303644924866596,0.20765257817343544,0.3064884194077598
0.005,3,-1.7712649503345579,-1.7199983565764145,0.13819027662918346,0.20739858190036908
0.005,4,-2.3903725908352778,-2.18736112799631,0.15868013394096975,0.17057391413638595
0.005,5,-2.685858874100157,-2.4355676619461692,0.18370573164455994,0.150471399019425
0.005,6,-2.865744622273947,-2.5956276931119993,0.2001882974825195,0.13528859058615325
0.005,7,-2.999045224242158,-2.6434661752521045,0.20437851916204988,0.12732549875245977
0.005,8,-3.102008810971558,-2.8551180730316115,0.20291366140937844,0.11965589426966967
0.005,9,-3.1847421313941573,-2.9250814433889554,0.19904833173674444,0.11507064139816792
0.005,10,-3.255459096971636,-2.9651282664509866,0.1876291886280581,0.11402389799210104
0.005,11,-3.310459623943131,-2.9906531069385363,0.17765935446072859,0.10975189466478474
0.005,12,-3.354735309063359,-3.0333096148662264,0.17298834811588235,0.11016111133300288
0.005,13,-3.3959618234559543,-3.087528446560741,0.1661559607587554,0.10645685037894569
0.005,14,-3.4284407821517537,-3.1121827496824346,0.16264318114579418,0.1047757454359462
0.005,15,-3.458977613306869,-3.1678921603643597,0.15919459082992568,0.1034714055286969
0.005,16,-3.4879566328866143,-3.1848692649959887,0.1563008070804766,0.10386270387458295
0.005,17,-3.5106228628937077,-3.221240390419227,0.1527630769408649,0.10118401699783838
0.005,18,-3.536535189851674,-3.2240049918411673,0.15250651363334233,0.10163490292487329
0.005,19,-3.5567336952480453,-3.233599974609307,0.14752885316752062,0.10055078321116764
0.005,20,-3.5801458038377985,-3.27864064008472,0.14696399144824082,0.1000199351253036
0.005,21,-3.60028361727716,-3.2724531457065362,0.14415072697183715,0.09924380338526245
0.005,22,-3.617090567352259,-3.316026812646654,0.14441232374354554,0.09835547549055905
0.005,23,-3.63737820366301,-3.34788252864636,0.1428035766668646,0.09816417346692237
0.005,24,-3.6519156653989615,-3.3391869228744175,0.14109693034965096,0.09754890495008514
0.005,25,-3.6671614233328373,-3.3589607615919164,0.14183184174521402,0.09729437494251193
0.005,26,-3.678541993570852,-3.370530466570987,0.14123947105643717,0.09685949894532185
0.005,27,-3.6895525288918702,-3.3771049702600764,0.13966207311967413,0.09656318569032672
0.005,28,-3.6965456925812097,-3.3879477189715397,0.13944613132459888,0.09631080470526968
0.005,29,-3.702113816577187,-3.387761729223607,0.13977780726676844,0.09638036528739576
0.005,30,-3.7038888615379153,-3.3883943309989095,0.139749174081128,0.09640503902986668
0.01,1,-0.05419534137677953,-0.28561229889559864,0.3128432654765088,0.42209346335553555
0.01,2,-0.905411150733161,-0.9137754089238194,0.20817125551091892,0.3068800771561641
0.01,3,-1.6935037034319558,-1.6605331178399674,0.14030222556962602,0.20596010940378198
0.01,4,-2.2458031630403767,-2.1688392287214837,0.160959337545676,0.1677160623184687
0.01,5,-2.494902101790699,-2.358175596393153,0.191149850673211,0.1477626752762521
0.01,6,-2.646972074445039,-2.5364057228669603,0.2063319277031724,0.132387415654576
0.01,7,-2.756739776082091,-2.6012979984633664,0.21575598704358218,0.12541506793830118
0.01,8,-2.842367965160771,-2.7306142853427513,0.21524377372200582,0.11789157531429661
0.01,9,-2.906713090960983,-2.778537785932365,0.21194037912241193,0.11369779749407692
0.01,10,-2.967647281396707,-2.8265915832639736,0.20082481123946205,0.11249277289415596
0.01,11,-3.009640411754231,-2.8371104918550234,0.189506883985752,0.1086771911438385
0.01,12,-3.0447206781273546,-2.882173543743693,0.19029607771316132,0.10864954218363716
0.01,13,-3.077896915649881,-2.933378807415196,0.1823472896583062,0.1056276756466576
0.01,14,-3.1046578197314565,-2.9640759760295015,0.18024521018184264,0.10382759539416474
0.01,15,-3.1267825340363817,-2.987023824294203,0.17555521870592583,0.10261963608410277
0.01,16,-3.149942572449964,-3.0268847795826095,0.17550438591593295,0.10222229099789404
0.01,17,-3.165365637602574,-3.039252500571565,0.17410052471869739,0.10094950057859543
0.01,18,-3.186342771872995,-3.0358398560081716,0.17530099185144105,0.10088956486806203
0.01,19,-3.2029503133832193,-3.060627762129399,0.1677412571275354,0.09884165223441464
0.01,20,-3.2216599557238808,-3.088227321583724,0.16808296301330838,0.09839022992577028
0.01,21,-3.237362750995103,-3.088400174680761,0.1666829755483513,0.09780553230059766
0.01,22,-3.2509819058458698,-3.1242095718415874,0.16485420974441736,0.09766508988325412
0.01,23,-3.268225664471158,-3.1579122829721946,0.16451074846404504,0.09669745085253278
0.01,24,-3.278658049147769,-3.141547535826439,0.16174780710288228,0.09616271621652493
0.01,25,-3.2918387478524513,-3.1611653381084475,0.16308131651003888,0.09622976801836887
0.01,26,-3.2998326932990945,-3.16975239347144,0.16309445483787965,0.09583071668556778
0.01,27,-3.3093957068220226,-3.175069211757127,0.16094914269389993,0.09550140210719663
0.01,28,-3.3149443616298155,-3.1834283077395984,0.16088160036810992,0.09521246517518037
0.01,29,-3.31951535414302,-3.184433124736347,0.16095426029344234,0.09520564116161583
0.01,30,-3.3210689981092276,-3.184042434755309,0.16102744671540833,0.09520879547094745
0.02,1,-0.02520765545432947,-0.2744250906179193,0.312445219133086,0.42306702883724884
0.02,2,-0.8211735043415925,-0.863296926716714,0.20718314325672782,0.30668701725560743
0.02,3,-1.4897253671892023,-1.6072259578716865,0.1415250067344222,0.20276023371221386
0.02,4,-1.915365362981425,-1.9779798307498795,0.16394110068176126,0.16541667924516068
0.02,5,-2.1089660137002846,-2.187107592838067,0.19493481717541972,0.14457615984249308
0.02,6,-2.227565059491566,-2.3297716694586743,0.2204493287787649,0.1311369434165344
0.02,7,-2.311200344637387,-2.3659617271305398,0.233141110578751,0.12608777353461686
0.02,8,-2.3749838677081434,-2.4382708307194654,0.2324646896385419,0.11833343106121463
0.02,9,-2.422999231519654,-2.4788903310666197,0.23207146273339851,0.114353682614942
0.02,10,-2.4697818937818146,-2.5184514031458116,0.2207433306679152,0.1117214767127831
0.02,11,-2.5019693291542855,-2.5489099490610916,0.21096620374020977,0.10931620972391311
0.02,12,-2.5297585163423366,-2.587450383444281,0.20605298818404685,0.10860279276564581
0.02,13,-2.555809870095605,-2.618549041873673,0.19796109422893066,0.10643056649598205
0.02,14,-2.5753643737857344,-2.6196093799220153,0.19758528248347637,0.10569811666074017
0.02,15,-2.59260753091875,-2.647989597315586,0.18929339482302837,0.10357654351754138
0.02,16,-2.6114115592449014,-2.6798150796751075,0.19120881659486433,0.10400048525999721
0.02,17,-2.623559028686871,-2.6857038294166395,0.18712429526096763,0.1017957248201084
0.02,18,-2.6402048054070826,-2.676753051076268,0.1872340804213055,0.10255824010557946
0.02,19,-2.6540755184142144,-2.702879454508435,0.1787109687459077,0.10097608350604276
0.02,20,-2.668141311809444,-2.724328024966686,0.1793117503830817,0.09998466116310908
0.02,21,-2.681040620897404,-2.7249613923781113,0.17541763070992664,0.09961198230065374
0.02,22,-2.691267193860873,-2.7571816158009987,0.17395551846690271,0.09853301098721329
0.02,23,-2.7064941696881126,-2.7792562408891026,0.17434766397785348,0.09854677838558956
0.02,24,-2.7142373914621314,-2.761150498296204,0.1704986808146191,0.09778585165020268
0.02,25,-2.7251250266654523,-2.7803055870772493,0.17118419981063812,0.0978067660163396
0.02,26,-2.7318056789821883,-2.781704978332477,0.17176455305942204,0.09764423315567575
0.02,27,-2.739664083223328,-2.786906261030243,0.16944561594810514,0.09719282585436971
0.02,28,-2.744489764381241,-2.794937775596705,0.16977822489526695,0.09689844493202404
0.02,29,-2.747442485698538,-2.7935274870384137,0.1694884041041472,0.09701782750000032
0.02,30,-2.748106694782922,-2.7942834770203855,0.1695695233625205,0.09693663127883108
