model,hidden_units,epoch,train_loss,val_loss,val_mse_all,val_mse_masked
gru,32,1,0.7244529572068429,0.5001988050868909,0.35114930971250946,0.5001988050868909
gru,32,2,0.3636209890854602,0.41526612377964905,0.3186135004049307,0.41526612377964905
gru,32,3,0.28964497593803157,0.3339898393713955,0.24185884768076923,0.3339898393713955
gru,32,4,0.21720523803584055,0.2478715272145833,0.1469981301910582,0.2478715272145833
gru,32,5,0.1572535408283562,0.18324843124423665,0.11726151222230372,0.18324843124423665
gru,32,6,0.12874570627765528,0.163237813319672,0.09889082615920416,0.163237813319672
gru,32,7,0.11965864627056257,0.15682608271218904,0.090214383819651,0.15682608271218904
gru,32,8,0.11470146515469536,0.15234122480039144,0.08133194365763191,0.15234122480039144
gru,32,9,0.11217856457225943,0.1478749024303993,0.0777778041943021,0.1478749024303993
gru,32,10,0.11080250893449016,0.1445175442997143,0.0728679779730596,0.1445175442997143
gru,32,11,0.10918461930363481,0.142349957139143,0.07347103631211455,0.142349957139143
gru,32,12,0.1072316051412555,0.14081280350235345,0.07042832071737579,0.14081280350235345
gru,32,13,0.10640959090303215,0.14096055442126293,0.07169088207882877,0.14096055442126293
gru,32,14,0.10555152238479683,0.1393611318168073,0.07324286689549343,0.1393611318168073
gru,32,15,0.10454245475084291,0.13732869599799685,0.0696901197057504,0.13732869599799685
gru,32,16,0.1040627668408481,0.13705041519524366,0.07023440088181446,0.13705041519524366
gru,32,17,0.10283474598834334,0.13645705671619462,0.0681365169133741,0.13645705671619462
gru,32,18,0.1029293949255249,0.13471389213033935,0.06802185087932883,0.13471389213033935
gru,32,19,0.1014769306415151,0.13585713647808695,0.07069625821136859,0.13585713647808695
gru,32,20,0.10155463570983293,0.13337328698160586,0.06657803694963303,0.13337328698160586
gru,32,21,0.10015361590056536,0.13315420974045286,0.06730066578876907,0.13315420974045286
gru,32,22,0.10020083784764659,0.1314110727209338,0.06655780016824142,0.1314110727209338
gru,32,23,0.0983463075579242,0.1326448178383747,0.06764163192180836,0.1326448178383747
gru,32,24,0.09862571406577314,0.1307719025451625,0.06581804058493353,0.1307719025451625
gru,32,25,0.09874808558115218,0.13028545875259032,0.06493103758564714,0.13028545875259032
gru,32,26,0.09881417733065936,0.1304482291129554,0.0659279175036692,0.1304482291129554
gru,32,27,0.09789701436282233,0.1303146569555381,0.06554153587937799,0.1303146569555381
gru,32,28,0.09758376301539655,0.1296868455372793,0.06522466529944843,0.1296868455372793
gru,32,29,0.09741122435714049,0.12955656718219813,0.06485048579327463,0.12955656718219813
gru,32,30,0.09737771729144795,0.12962837454490786,0.06501418864354491,0.12962837454490786
gru,64,1,0.5597748557383448,0.438828920386308,0.33045874832309585,0.438828920386308
gru,64,2,0.3221388319434139,0.3729397455093375,0.3119416693748004,0.3729397455093375
gru,64,3,0.2472888716489217,0.27177176579100115,0.22066581301345936,0.27177176579100115
gru,64,4,0.1656887390362786,0.18363230695052693,0.13793171322223158,0.18363230695052693
gru,64,5,0.12830885187598468,0.1558717529877591,0.11123899399522491,0.1558717529877591
gru,64,6,0.11438924176516113,0.14299587380117013,0.09816296633906306,0.14299587380117013
gru,64,7,0.10843260230984848,0.13868024256652317,0.08955465954212279,0.13868024256652317
gru,64,8,0.10418681038289186,0.14134324581939176,0.08490928176894975,0.14134324581939176
gru,64,9,0.10121423816206036,0.1340011475573155,0.08287164217060244,0.1340011475573155
gru,64,10,0.09851973606639043,0.13102235878839627,0.07629197228126584,0.13102235878839627
gru,64,11,0.0968211183578852,0.12528534096907867,0.07292448105064586,0.12528534096907867
gru,64,12,0.0947368959424026,0.12463971744047886,0.07174384674951265,0.12463971744047886
gru,64,13,0.09289631757101562,0.1229453963681934,0.06852720717975758,0.1229453963681934
gru,64,14,0.09246893292073646,0.12706805879166852,0.07451886184431664,0.12706805879166852
gru,64,15,0.09097453907740359,0.12048219298870445,0.06528906173028978,0.12048219298870445
gru,64,16,0.08948812356402913,0.12151590816078565,0.06654956159722046,0.12151590816078565
gru,64,17,0.08821257752259634,0.1185152050883702,0.0651168490147855,0.1185152050883702
gru,64,18,0.08746187462057667,0.11703892558893589,0.06585873491918051,0.11703892558893589
gru,64,19,0.08656578712908075,0.11639270045031272,0.06532357065794372,0.11639270045031272
gru,64,20,0.08608966433710684,0.11556697756488377,0.06421266056574639,0.11556697756488377
gru,64,21,0.08540916673406326,0.11465806545657223,0.0658749054451533,0.11465806545657223
gru,64,22,0.08460787467781332,0.11549394972106249,0.06635580696603333,0.11549394972106249
gru,64,23,0.08358302903909885,0.11222770104371506,0.06309595896892102,0.11222770104371506
gru,64,24,0.08283388617520149,0.11180768845941083,0.06307453913169322,0.11180768845941083
gru,64,25,0.082735642941385,0.11076126968713337,0.06282795255794031,0.11076126968713337
gru,64,26,0.08194586720048586,0.1108088613091668,0.06330559409288457,0.1108088613091668
gru,64,27,0.08155826682274579,0.11046844531363265,0.06382810424658851,0.11046844531363265
gru,64,28,0.0812057789637352,0.11041504185983221,0.06358990591521417,0.11041504185983221
gru,64,29,0.08135573290744606,0.11024584298696753,0.06296572260296648,0.11024584298696753
gru,64,30,0.08108123167735207,0.11015366468104795,0.06292675625567463,0.11015366468104795
gru,128,1,0.45081711287962584,0.4031018881410377,0.31270209587849196,0.4031018881410377
gru,128,2,0.2853515153730309,0.33458027948778607,0.2801177723017621,0.33458027948778607
gru,128,3,0.20205316176079505,0.21481945016580245,0.22934548005071936,0.21481945016580245
gru,128,4,0.13783370279875148,0.1699727931814699,0.1376430707248641,0.1699727931814699
gru,128,5,0.11247903283808258,0.14320985482895493,0.0933414493250386,0.14320985482895493
gru,128,6,0.10157634889183557,0.13084543286981604,0.07631064224437478,0.13084543286981604
gru,128,7,0.09554736395212975,0.12415328613144203,0.06618216272000113,0.12415328613144203
gru,128,8,0.0914298718295161,0.11954312193718647,0.0619985210187479,0.11954312193718647
gru,128,9,0.08810755638858915,0.11809688386485444,0.06316710842937129,0.11809688386485444
gru,128,10,0.08548827987731532,0.1162564365254677,0.06269943019974669,0.1162564365254677
gru,128,11,0.08351448637110238,0.11253736695801449,0.062337329279676564,0.11253736695801449
gru,128,12,0.08235407182142676,0.11326444688111183,0.06564448350847016,0.11326444688111183
gru,128,13,0.08090628458324416,0.1099971020857255,0.06453322905780913,0.1099971020857255
gru,128,14,0.07957675918158921,0.11114604449993348,0.06449316931539656,0.11114604449993348
gru,128,15,0.07856181490657561,0.1072638439193899,0.06289078846998891,0.1072638439193899
gru,128,16,0.07709928445073555,0.10833511610252047,0.06523511765441427,0.10833511610252047
gru,128,17,0.07590380634679758,0.10867856265984085,0.06591685035815315,0.10867856265984085
gru,128,18,0.07552675474990668,0.10600341836656384,0.06315862153334807,0.10600341836656384
gru,128,19,0.07436517483410038,0.1047238118078424,0.06164036386849682,0.1047238118078424
gru,128,20,0.07366066039883454,0.10412074531653756,0.06083376955970348,0.10412074531653756
gru,128,21,0.07311018447083198,0.10287299913080965,0.06218883717874626,0.10287299913080965
gru,128,22,0.07167340855595175,0.10167677261601142,0.058883436070790426,0.10167677261601142
gru,128,23,0.07107442007743676,0.10022726244287151,0.05713591356677024,0.10022726244287151
gru,128,24,0.0707849871656701,0.09929830438268199,0.056890617473805756,0.09929830438268199
gru,128,25,0.0697538273508428,0.09896092094811791,0.05645840171031891,0.09896092094811791
gru,128,26,0.06953290695327465,0.09922111542366581,0.05745408580927256,0.09922111542366581
gru,128,27,0.06907072424526024,0.09825095799079037,0.056068993468152487,0.09825095799079037
gru,128,28,0.06882780663014114,0.0980438413741872,0.056054783193676974,0.0980438413741872
gru,128,29,0.06898382708775333,0.09787684790601205,0.055886866400898114,0.09787684790601205
gru,128,30,0.0688283225740752,0.09778740302381728,0.05590811457680545,0.09778740302381728
gru,256,1,0.3891364925276354,0.37431609352811934,0.3333723293751523,0.37431609352811934
gru,256,2,0.2481393736610233,0.2674923137775068,0.3384126533540227,0.2674923137775068
gru,256,3,0.15480427467549335,0.18068692458749744,0.3064738299225975,0.18068692458749744
gru,256,4,0.11771448877007003,0.143546301505611,0.10367505729108077,0.143546301505611
gru,256,5,0.10067634803171341,0.12728611684889393,0.07739743515439586,0.12728611684889393
gru,256,6,0.09181597058952229,0.12355329338997784,0.09412964948659891,0.12355329338997784
gru,256,7,0.0867324640410053,0.11466786101562133,0.09839892833457639,0.11466786101562133
gru,256,8,0.08320913112589291,0.11279114441546506,0.0992194451667069,0.11279114441546506
gru,256,9,0.08152683445280257,0.1089264757730352,0.09541454300929744,0.1089264757730352
gru,256,10,0.07912780075265297,0.10737550439640677,0.09613685063711333,0.10737550439640677
gru,256,11,0.07745155557358471,0.10860568155245778,0.09566796011357816,0.10860568155245778
gru,256,12,0.0754292190934603,0.10370737589825824,0.09032588576141765,0.10370737589825824
gru,256,13,0.07463702505404711,0.1056659701486825,0.08771270444250219,0.1056659701486825
gru,256,14,0.07338652334247645,0.10306584972367848,0.08522216591827284,0.10306584972367848
gru,256,15,0.07244954989956957,0.10016152965742671,0.08426348427517115,0.10016152965742671
gru,256,16,0.07101011982354302,0.10082782096977234,0.08452881352297772,0.10082782096977234
gru,256,17,0.06997620435300016,0.09960549105485864,0.08323166974226381,0.09960549105485864
gru,256,18,0.06933043424092712,0.10016327324403497,0.08545129427128882,0.10016327324403497
gru,256,19,0.06800884604044669,0.09732869264012707,0.07971129656844886,0.09732869264012707
gru,256,20,0.06711188778193489,0.09682860339241889,0.0808861009704925,0.09682860339241889
gru,256,21,0.06637162433694492,0.09605536507665009,0.07686395807120415,0.09605536507665009
gru,256,22,0.06486528370722403,0.09533886148942418,0.07617600852776449,0.09533886148942418
gru,256,23,0.06411442400498704,0.09470853580444714,0.07420123724181804,0.09470853580444714
gru,256,24,0.06344487567079872,0.09488269836379538,0.073589207278847,0.09488269836379538
gru,256,25,0.06308490032508525,0.09344579333199754,0.07328285708129575,0.09344579333199754
gru,256,26,0.06280803738492344,0.09298191312391599,0.0726377738885429,0.09298191312391599
gru,256,27,0.06200625971573722,0.09206358195685692,0.07183976931613252,0.09206358195685692
gru,256,28,0.06171932561758736,0.09175993617778676,0.07162836547564981,0.09175993617778676
gru,256,29,0.06199370667314979,0.09191273466222852,0.07132874052707527,0.09191273466222852
gru,256,30,0.06193354951343506,0.09179316269623228,0.07121433961528924,0.09179316269623228
transformer,32,1,0.8754595360258124,0.712221097236413,0.6893245363996348,0.712221097236413
transformer,32,2,0.6249159757346149,0.5439629737270814,0.5278719071103959,0.5439629737270814
transformer,32,3,0.45667674088356447,0.4206331982453854,0.4369427344907948,0.4206331982453854
transformer,32,4,0.3501958138012624,0.33897921484150134,0.3586089240166078,0.33897921484150134
transformer,32,5,0.3017949699688837,0.28749097152358916,0.3484118971122828,0.28749097152358916
transformer,32,6,0.2717160016520525,0.2537738199736231,0.35865001651861617,0.2537738199736231
transformer,32,7,0.24889400416935445,0.23612830292456802,0.32789610194040913,0.23612830292456802
transformer,32,8,0.2325507758796402,0.231747530769328,0.3339230722780929,0.231747530769328
transformer,32,9,0.2219139813815406,0.22362117995906952,0.33158729335051695,0.22362117995906952
transformer,32,10,0.2116799875427172,0.22084389466487317,0.337714830210109,0.22084389466487317
transformer,32,11,0.19848992511325952,0.19477227110298487,0.34031782752161366,0.19477227110298487
transformer,32,12,0.1818372682777922,0.1854529793037439,0.35420639245256136,0.1854529793037439
transformer,32,13,0.17145729368988255,0.17093990889107463,0.35780828788458535,0.17093990889107463
transformer,32,14,0.1648353855150461,0.16483939534697153,0.3619306176439086,0.16483939534697153
transformer,32,15,0.15978886506445647,0.170607529927103,0.35096033103764057,0.170607529927103
transformer,32,16,0.1544943474864754,0.1660067447419882,0.38384397190072667,0.1660067447419882
transformer,32,17,0.15163867123471791,0.15531775496378994,0.3553641598637783,0.15531775496378994
transformer,32,18,0.1470084831680009,0.15547901665625233,0.3485438375365924,0.15547901665625233
transformer,32,19,0.14391389666315244,0.1501508893238958,0.3554080913918004,0.1501508893238958
transformer,32,20,0.14066931515861905,0.1493597041795749,0.358542796715789,0.1493597041795749
transformer,32,21,0.1375840197535147,0.14389861323893666,0.3548977552108902,0.14389861323893666
transformer,32,22,0.13436097114272358,0.13799394683291397,0.3408457634157139,0.13799394683291397
transformer,32,23,0.13164545458740023,0.13719674723123648,0.34423048141778895,0.13719674723123648
transformer,32,24,0.12902846375372104,0.13559562231668562,0.3362006039730781,0.13559562231668562
transformer,32,25,0.12687150239769013,0.1339324430650463,0.33872450148535665,0.1339324430650463
transformer,32,26,0.1252739831150233,0.13187127399540396,0.33969284156217344,0.13187127399540396
transformer,32,27,0.1235661158692004,0.13080121085944094,0.33164143049701134,0.13080121085944094
transformer,32,28,0.12332191876306826,0.12996386890345513,0.3333895958083102,0.12996386890345513
transformer,32,29,0.12200035025282314,0.1294692781428334,0.33167604313085847,0.1294692781428334
transformer,32,30,0.12196756510277465,0.12925044647384423,0.3314639461721725,0.12925044647384423
transformer,64,1,0.7231300474055333,0.6204844262229223,0.4970125608920057,0.6204844262229223
transformer,64,2,0.47642727075042307,0.4380607638215763,0.4254241290405517,0.4380607638215763
transformer,64,3,0.33820503458404094,0.3116617198042159,0.32552567934455,0.3116617198042159
transformer,64,4,0.2687287441462138,0.2699895895014208,0.29630267028548557,0.2699895895014208
transformer,64,5,0.23783133677682097,0.24653194694327216,0.2905424233678505,0.24653194694327216
transformer,64,6,0.22151022027341688,0.22334490563555243,0.2784928424563471,0.22334490563555243
transformer,64,7,0.20743982432003671,0.20380749232386372,0.29711928174367075,0.20380749232386372
transformer,64,8,0.1964870815596644,0.21443674110449495,0.29275365776104895,0.21443674110449495
transformer,64,9,0.18438583615073698,0.1898995645692356,0.2911082414897488,0.1898995645692356
transformer,64,10,0.17552686696886735,0.18000843330431895,0.2832242114366321,0.18000843330431895
transformer,64,11,0.16825014612282183,0.16813683318496003,0.2991840727348375,0.16813683318496003
transformer,64,12,0.1638240627769024,0.16559919981791485,0.2842323918737912,0.16559919981791485
transformer,64,13,0.15881705587873093,0.15970590852615454,0.2783516856814912,0.15970590852615454
transformer,64,14,0.1558795031353106,0.1577477930996276,0.26527445346407924,0.1577477930996276
transformer,64,15,0.1507221554655997,0.15704323413571408,0.28488029747455745,0.15704323413571408
transformer,64,16,0.1467014949809719,0.14819369990826275,0.24705255107348326,0.14819369990826275
transformer,64,17,0.14268880197822206,0.14836997350775288,0.2503178731165544,0.14836997350775288
transformer,64,18,0.1384220378306728,0.1491118329192333,0.2548732683401473,0.1491118329192333
transformer,64,19,0.1344751329235791,0.1388760102281546,0.25429151175364323,0.1388760102281546
transformer,64,20,0.13115649270814853,0.1340129604670618,0.24272252509258885,0.1340129604670618
transformer,64,21,0.1274238601180738,0.13154622863916718,0.22962786073968028,0.13154622863916718
transformer,64,22,0.12420504279142272,0.12774228880099298,0.2301151628526234,0.12774228880099298
transformer,64,23,0.12084733346181818,0.12194352256807756,0.22037864741717464,0.12194352256807756
transformer,64,24,0.11798598081212684,0.12059296612298417,0.21565756769716696,0.12059296612298417
transformer,64,25,0.11564182945332685,0.11778832604269086,0.21566643194917526,0.11778832604269086
transformer,64,26,0.11314759508500481,0.1151260437577655,0.21183573453135682,0.1151260437577655
transformer,64,27,0.11186471092375799,0.11371781142291537,0.20879889449699188,0.11371781142291537
transformer,64,28,0.1100165785394106,0.11236472202189919,0.20901643435475703,0.11236472202189919
transformer,64,29,0.1093295820607121,0.11168187624249548,0.20820977439548907,0.11168187624249548
transformer,64,30,0.10907098994980707,0.11144923013495528,0.2080108371102184,0.11144923013495528
transformer,128,1,0.5885147243223534,0.46206465254854084,0.42140461756707287,0.46206465254854084
transformer,128,2,0.35195042463823617,0.3378905878418886,0.3260332833780675,0.3378905878418886
transformer,128,3,0.25873220304679273,0.2726264090513439,0.28964301468161946,0.2726264090513439
transformer,128,4,0.22259292913779172,0.22893500406262582,0.2566009881052558,0.22893500406262582
transformer,128,5,0.2041046259027074,0.21924276983469917,0.24280403684217475,0.21924276983469917
transformer,128,6,0.1929093011285016,0.21696720291931715,0.26974634721894963,0.21696720291931715
transformer,128,7,0.18327866366463516,0.20060827945188886,0.27274622589524855,0.20060827945188886
transformer,128,8,0.1733052192498554,0.20602178984971956,0.32446413428520526,0.20602178984971956
transformer,128,9,0.1658536712944601,0.17187876533187355,0.2584236243936015,0.17187876533187355
transformer,128,10,0.15702126277391354,0.16003098085394143,0.24911313694834686,0.16003098085394143
transformer,128,11,0.1492124207896799,0.15814823680151313,0.2417351089038768,0.15814823680151313
transformer,128,12,0.1430815237727794,0.16673891149303108,0.23737442891880972,0.16673891149303108
transformer,128,13,0.1381559565996684,0.15190158583297253,0.2112758083260527,0.15190158583297253
transformer,128,14,0.13293555302829066,0.13961613545663107,0.21358206844447325,0.13961613545663107
transformer,128,15,0.12880200851925033,0.13610324160308154,0.20961574353793122,0.13610324160308154
transformer,128,16,0.12389547680760478,0.1297703545093621,0.20378782432752296,0.1297703545093621
transformer,128,17,0.11991718273077692,0.11850023464461432,0.16779406494415106,0.11850023464461432
transformer,128,18,0.115727221888009,0.1241760753660722,0.182663098087081,0.1241760753660722
transformer,128,19,0.11120731022612454,0.11408422989989656,0.16597720680982891,0.11408422989989656
transformer,128,20,0.10724492645244958,0.11207218876957944,0.15800974950818536,0.11207218876957944
transformer,128,21,0.10459610650394831,0.10420958211075676,0.15185488743913714,0.10420958211075676
transformer,128,22,0.10080680580490986,0.10360717537023488,0.1622996164056514,0.10360717537023488
transformer,128,23,0.09730946847809306,0.09830929904150931,0.14641473483480655,0.09830929904150931
transformer,128,24,0.09434264409597057,0.09524265565122869,0.14250262753319184,0.09524265565122869
transformer,128,25,0.09163564239925408,0.09150208210880806,0.14029817843994719,0.09150208210880806
transformer,128,26,0.08987561682651471,0.08979148831237192,0.13863029218560552,0.08979148831237192
transformer,128,27,0.08761053323465015,0.08834969410024954,0.1360020982260428,0.08834969410024954
transformer,128,28,0.08657297430182785,0.08649108740859443,0.13201803773171336,0.08649108740859443
transformer,128,29,0.08623822370932979,0.08622518048536632,0.1325714514616219,0.08622518048536632
transformer,128,30,0.08563161103473026,0.08613023297147016,0.132473898579531,0.08613023297147016
transformer,256,1,0.47227337513136525,0.37098889914005884,0.335002754430814,0.37098889914005884
transformer,256,2,0.27184337468311964,0.27720587371676947,0.2616267309695697,0.27720587371676947
transformer,256,3,0.22260311011874134,0.24546957758013116,0.2560332525772882,0.24546957758013116
transformer,256,4,0.2060716974503672,0.25709251862639243,0.3056336141398305,0.25709251862639243
transformer,256,5,0.19719888000768057,0.21691984653690374,0.22286105840456324,0.21691984653690374
transformer,256,6,0.18659503918310724,0.20751321959606542,0.2569579500436692,0.20751321959606542
transformer,256,7,0.17445088164819467,0.18787771357164082,0.23602793476642467,0.18787771357164082
transformer,256,8,0.1667911848407151,0.18084913662156774,0.23838260783542053,0.18084913662156774
transformer,256,9,0.1566329292648909,0.1624825181327605,0.21166322248302247,0.1624825181327605
transformer,256,10,0.14801607651393306,0.14875958527108601,0.2077778276971134,0.14875958527108601
transformer,256,11,0.13950833788542208,0.14509025153508404,0.1838959356758622,0.14509025153508404
transformer,256,12,0.13400944998163256,0.1443838576021533,0.17636544078339944,0.1443838576021533
transformer,256,13,0.12664869651724722,0.12882019286051002,0.15998226660180206,0.12882019286051002
transformer,256,14,0.12323756542355056,0.12989344765694136,0.16536924961588603,0.12989344765694136
transformer,256,15,0.11814537950889376,0.11895563018506844,0.1446559862240759,0.11895563018506844
transformer,256,16,0.11394204828870633,0.11850348093855485,0.14856468422064406,0.11850348093855485
transformer,256,17,0.1086766170136034,0.11965782726109395,0.14162595489488136,0.11965782726109395
transformer,256,18,0.10441890320853217,0.10762722746728919,0.12905741310371277,0.10762722746728919
transformer,256,19,0.10067264620606528,0.10166676293679396,0.12793047269389676,0.10166676293679396
transformer,256,20,0.09631720103873188,0.09538812564023635,0.12254592657253044,0.09538812564023635
transformer,256,21,0.09291127856288638,0.09273399347478242,0.11637505816883204,0.09273399347478242
transformer,256,22,0.08915987274078783,0.08923996077078007,0.11624456360057799,0.08923996077078007
transformer,256,23,0.08591403067842991,0.08750177217083273,0.10766834597448571,0.08750177217083273
transformer,256,24,0.08305741963583502,0.08409542777968135,0.1062870268414109,0.08409542777968135
transformer,256,25,0.08019516479685973,0.07824976868338607,0.09701762536019538,0.07824976868338607
transformer,256,26,0.07779963783089369,0.07684784210633015,0.09486730237314202,0.07684784210633015
transformer,256,27,0.0758050905195543,0.0758081805852395,0.09521015356255977,0.0758081805852395
transformer,256,28,0.07421046941829158,0.07418319385174317,0.09341860598926181,0.07418319385174317
transformer,256,29,0.07335667138132654,0.07353354623549002,0.09230101137359184,0.07353354623549002
transformer,256,30,0.07314825862956056,0.07321009895403484,0.09214985353760619,0.07321009895403484
